fname,fadd,flat,flng,furl,fimg,fcat,floc
딹강정 방배점,서울 서초구 방배로13길 10 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1605401345?c=14136183.7925830,4506662.8183818,15,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EB%25A7%259B%25EC%25A7%2591",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220810_228%2F16601217751922WMLp_JPEG%2FKakaoTalk_20220810_170052584_13.jpg,"치킨,닭강정",방배
다이카,서울 서초구 방배로23길 18 2층 다이카,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1041252868?c=14135892.3692881,4507109.6587075,15,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EB%25A7%259B%25EC%25A7%2591",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_142%2F1647844356639tpuuu_PNG%2F017_%25BB%25D1%25C6%25CC%25BA%25C0%25B0%25C5%25B8%25AE_02.png,태국음식,방배
백년옥,서울 서초구 남부순환로 2407,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/11678686?c=14138175.9773222,4506393.1129175,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_210%2F1441017594240i62ms_JPEG%2F11678686_0.jpg,두부요리,방배
봉산옥 서초동본점,서울 서초구 반포대로8길 5-6,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/11851001?c=14138029.4474765,4506693.7930102,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_87%2F1441055425153Blm9F_JPEG%2F156155408442388_1.jpg,한식,방배
피제리아 호키포키,서울 서초구 반포대로9길 28 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1567503530?c=14137770.2511741,4506656.6739691,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190615_132%2F1560579043198L1pQQ_JPEG%2Fob1B8Ecqs1RJZAYUfjTNXdpv.jpeg.jpg,피자,방배
루엘드파리,서울 서초구 서초중앙로 18 서초쌍용플래티넘 112호,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/36266637?c=14138573.9445018,4506794.9241261,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200527_112%2F15905451007786ghtV_JPEG%2FyvE2bks6gF5SvY_4pMzMG7Cg.jpg,베이커리,방배
남부,서울 서초구 효령로52길 5,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1979024190?c=14138075.9233639,4506776.3363530,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220629_75%2F1656458908286LGy4u_JPEG%2F22-06-150066.jpg,"육류,고기요리",방배
몬탁,서울 서초구 서초대로32길 8 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1045302382?c=14136308.4481488,4507394.2115950,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220525_52%2F1653457490309ToiOA_JPEG%2FB5C30736-4157-4A40-BD62-CC3E566B7E7B.jpeg,베이커리,방배
사람사는고깃집김일도 서초점,서울 서초구 효령로55길 39 센트로호텔 1층 김일도 서초점,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1248789426?c=14138203.9741741,4507149.4027747,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190624_133%2F1561309478241U8X89_JPEG%2FT0ZqCCDafYY8zhu8GGnLx9OD.jpeg.jpg,"육류,고기요리",방배
진대감 서초점,서울 서초구 효령로55길 39 센트로호텔 1층 진대감,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/38427620?c=14138203.9741741,4507149.4027747,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220722_194%2F16584656412300nipX_JPEG%2FIMG_8066.jpg,소고기구이,방배
